indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2013-02,Buenos Aires,1 y 2 estrellas,2354,
2013-02,Buenos Aires,3 estrellas/boutiques/aparts,3108,
2013-02,Buenos Aires,4 y 5 estrellas,2236,
2013-02,Buenos Aires,Para Hoteles,3542,
2013-02,CABA,1 y 2 estrellas,939,
2013-02,CABA,3 estrellas/boutiques/aparts,3674,
2013-02,CABA,4 y 5 estrellas,8536,
2013-02,CABA,Para Hoteles,1427,
2013-02,Córdoba,1 y 2 estrellas,1789,
2013-02,Córdoba,3 estrellas/boutiques/aparts,1448,
2013-02,Córdoba,4 y 5 estrellas,876,
2013-02,Córdoba,Para Hoteles,2386,
2013-02,Cuyo,1 y 2 estrellas,950,
2013-02,Cuyo,3 estrellas/boutiques/aparts,1899,
2013-02,Cuyo,4 y 5 estrellas,2532,
2013-02,Cuyo,Para Hoteles,843,
2013-02,Litoral,1 y 2 estrellas,922,
2013-02,Litoral,3 estrellas/boutiques/aparts,1758,
2013-02,Litoral,4 y 5 estrellas,3405,
2013-02,Litoral,Para Hoteles,1678,
2013-02,Norte,1 y 2 estrellas,702,
2013-02,Norte,3 estrellas/boutiques/aparts,1934,
2013-02,Norte,4 y 5 estrellas,1696,
2013-02,Norte,Para Hoteles,1311,
2013-02,Patagonia,1 y 2 estrellas,1677,
2013-02,Patagonia,3 estrellas/boutiques/aparts,2633,
2013-02,Patagonia,4 y 5 estrellas,3114,
2013-02,Patagonia,Para Hoteles,2577,
2013-03,Buenos Aires,1 y 2 estrellas,1464,
2013-03,Buenos Aires,3 estrellas/boutiques/aparts,2262,
2013-03,Buenos Aires,4 y 5 estrellas,1717,
2013-03,Buenos Aires,Para Hoteles,2478,
2013-03,CABA,1 y 2 estrellas,921,
2013-03,CABA,3 estrellas/boutiques/aparts,3640,
2013-03,CABA,4 y 5 estrellas,8649,
2013-03,CABA,Para Hoteles,1409,
2013-03,Córdoba,1 y 2 estrellas,1452,
2013-03,Córdoba,3 estrellas/boutiques/aparts,1354,
2013-03,Córdoba,4 y 5 estrellas,863,
2013-03,Córdoba,Para Hoteles,1931,
2013-03,Cuyo,1 y 2 estrellas,1005,
2013-03,Cuyo,3 estrellas/boutiques/aparts,1970,
2013-03,Cuyo,4 y 5 estrellas,2514,
2013-03,Cuyo,Para Hoteles,817,
2013-03,Litoral,1 y 2 estrellas,886,
2013-03,Litoral,3 estrellas/boutiques/aparts,1739,
2013-03,Litoral,4 y 5 estrellas,3348,
2013-03,Litoral,Para Hoteles,1271,
2013-03,Norte,1 y 2 estrellas,720,
2013-03,Norte,3 estrellas/boutiques/aparts,2003,
2013-03,Norte,4 y 5 estrellas,1723,
2013-03,Norte,Para Hoteles,1203,
2013-03,Patagonia,1 y 2 estrellas,1551,
2013-03,Patagonia,3 estrellas/boutiques/aparts,2610,
2013-03,Patagonia,4 y 5 estrellas,2907,
2013-03,Patagonia,Para Hoteles,2381,
2013-04,Buenos Aires,1 y 2 estrellas,837,
2013-04,Buenos Aires,3 estrellas/boutiques/aparts,1738,
2013-04,Buenos Aires,4 y 5 estrellas,1364,
2013-04,Buenos Aires,Para Hoteles,1744,
2013-04,CABA,1 y 2 estrellas,900,
2013-04,CABA,3 estrellas/boutiques/aparts,3561,
2013-04,CABA,4 y 5 estrellas,8228,
2013-04,CABA,Para Hoteles,1383,
2013-04,Córdoba,1 y 2 estrellas,1178,
2013-04,Córdoba,3 estrellas/boutiques/aparts,1250,
2013-04,Córdoba,4 y 5 estrellas,836,
2013-04,Córdoba,Para Hoteles,1647,
2013-04,Cuyo,1 y 2 estrellas,1028,
2013-04,Cuyo,3 estrellas/boutiques/aparts,1856,
2013-04,Cuyo,4 y 5 estrellas,2455,
2013-04,Cuyo,Para Hoteles,752,
2013-04,Litoral,1 y 2 estrellas,817,
2013-04,Litoral,3 estrellas/boutiques/aparts,1770,
2013-04,Litoral,4 y 5 estrellas,3425,
2013-04,Litoral,Para Hoteles,1111,
2013-04,Norte,1 y 2 estrellas,780,
2013-04,Norte,3 estrellas/boutiques/aparts,1936,
2013-04,Norte,4 y 5 estrellas,1752,
2013-04,Norte,Para Hoteles,1144,
2013-04,Patagonia,1 y 2 estrellas,1330,
2013-04,Patagonia,3 estrellas/boutiques/aparts,2213,
2013-04,Patagonia,4 y 5 estrellas,2703,
2013-04,Patagonia,Para Hoteles,1731,
2013-05,Buenos Aires,1 y 2 estrellas,765,
2013-05,Buenos Aires,3 estrellas/boutiques/aparts,1520,
2013-05,Buenos Aires,4 y 5 estrellas,1263,
2013-05,Buenos Aires,Para Hoteles,1406,
2013-05,CABA,1 y 2 estrellas,910,
2013-05,CABA,3 estrellas/boutiques/aparts,3518,
2013-05,CABA,4 y 5 estrellas,8071,
2013-05,CABA,Para Hoteles,1458,
2013-05,Córdoba,1 y 2 estrellas,1019,
2013-05,Córdoba,3 estrellas/boutiques/aparts,1206,
2013-05,Córdoba,4 y 5 estrellas,861,
2013-05,Córdoba,Para Hoteles,1478,
2013-05,Cuyo,1 y 2 estrellas,959,
2013-05,Cuyo,3 estrellas/boutiques/aparts,1875,
2013-05,Cuyo,4 y 5 estrellas,2446,
2013-05,Cuyo,Para Hoteles,706,
2013-05,Litoral,1 y 2 estrellas,854,
2013-05,Litoral,3 estrellas/boutiques/aparts,1744,
2013-05,Litoral,4 y 5 estrellas,3565,
2013-05,Litoral,Para Hoteles,1135,
2013-05,Norte,1 y 2 estrellas,869,
2013-05,Norte,3 estrellas/boutiques/aparts,1844,
2013-05,Norte,4 y 5 estrellas,1866,
2013-05,Norte,Para Hoteles,1109,
2013-05,Patagonia,1 y 2 estrellas,1305,
2013-05,Patagonia,3 estrellas/boutiques/aparts,1818,
2013-05,Patagonia,4 y 5 estrellas,2418,
2013-05,Patagonia,Para Hoteles,1332,
2013-06,Buenos Aires,1 y 2 estrellas,738,
2013-06,Buenos Aires,3 estrellas/boutiques/aparts,1532,
2013-06,Buenos Aires,4 y 5 estrellas,1282,
2013-06,Buenos Aires,Para Hoteles,1400,
2013-06,CABA,1 y 2 estrellas,916,
2013-06,CABA,3 estrellas/boutiques/aparts,3481,
2013-06,CABA,4 y 5 estrellas,8091,
2013-06,CABA,Para Hoteles,1412,
2013-06,Córdoba,1 y 2 estrellas,892,
2013-06,Córdoba,3 estrellas/boutiques/aparts,1142,
2013-06,Córdoba,4 y 5 estrellas,852,
2013-06,Córdoba,Para Hoteles,1393,
2013-06,Cuyo,1 y 2 estrellas,938,
2013-06,Cuyo,3 estrellas/boutiques/aparts,1872,
2013-06,Cuyo,4 y 5 estrellas,2472,
2013-06,Cuyo,Para Hoteles,717,
2013-06,Litoral,1 y 2 estrellas,841,
2013-06,Litoral,3 estrellas/boutiques/aparts,1809,
2013-06,Litoral,4 y 5 estrellas,3414,
2013-06,Litoral,Para Hoteles,1076,
2013-06,Norte,1 y 2 estrellas,1004,
2013-06,Norte,3 estrellas/boutiques/aparts,1994,
2013-06,Norte,4 y 5 estrellas,1951,
2013-06,Norte,Para Hoteles,1113,
2013-06,Patagonia,1 y 2 estrellas,1467,
2013-06,Patagonia,3 estrellas/boutiques/aparts,1901,
2013-06,Patagonia,4 y 5 estrellas,2458,
2013-06,Patagonia,Para Hoteles,1462,
2013-07,Buenos Aires,1 y 2 estrellas,766,
2013-07,Buenos Aires,3 estrellas/boutiques/aparts,1722,
2013-07,Buenos Aires,4 y 5 estrellas,1337,
2013-07,Buenos Aires,Para Hoteles,1602,
2013-07,CABA,1 y 2 estrellas,925,
2013-07,CABA,3 estrellas/boutiques/aparts,3518,
2013-07,CABA,4 y 5 estrellas,8029,
2013-07,CABA,Para Hoteles,1377,
2013-07,Córdoba,1 y 2 estrellas,1089,
2013-07,Córdoba,3 estrellas/boutiques/aparts,1407,
2013-07,Córdoba,4 y 5 estrellas,926,
2013-07,Córdoba,Para Hoteles,1629,
2013-07,Cuyo,1 y 2 estrellas,1008,
2013-07,Cuyo,3 estrellas/boutiques/aparts,1877,
2013-07,Cuyo,4 y 5 estrellas,2727,
2013-07,Cuyo,Para Hoteles,764,
2013-07,Litoral,1 y 2 estrellas,841,
2013-07,Litoral,3 estrellas/boutiques/aparts,1775,
2013-07,Litoral,4 y 5 estrellas,3389,
2013-07,Litoral,Para Hoteles,1200,
2013-07,Norte,1 y 2 estrellas,1179,
2013-07,Norte,3 estrellas/boutiques/aparts,2007,
2013-07,Norte,4 y 5 estrellas,1935,
2013-07,Norte,Para Hoteles,1389,
2013-07,Patagonia,1 y 2 estrellas,1970,
